aeroBlue,C9FFE5
airForceBlue_Raf,5D8AA8
airForceBlue_Usaf,00308F
airSuperiorityBlue,72A0C1
alabamaCrimson,A32638
aliceBlue,F0F8FF
alizarinCrimson,E32636
alloyOrange,C46210
almond,EFDECD
amaranth,E52B50
amazon,3B7A57
amber,FFBF00
amberSae,FF7E00
americanRose,FF033E
amethyst,9966CC
androidGreen,A4C639
anti_FlashWhite,F2F3F4
antiqueBrass,CD9575
antiqueBronze,665D1E
antiqueFuchsia,915C83
antiqueRuby,841B2D
antiqueWhite,FAEBD7
ao_English,008000
appleGreen,8DB600
apricot,FBCEB1
aqua,00FFFF
aquamarine,7FFFD4
armyGreen,4B5320
arsenic,3B444B
arylideYellow,E9D66B
ashGrey,B2BEB5
asparagus,87A96B
atomicTangerine,FF9966
auburn,A52A2A
aureolin,FDEE00
aurometalsaurus,6E7F80
avocado,568203
azure,007FFF
azureMist_web,F0FFFF
babyBlue,89CFF0
babyBlueEyes,A1CAF1
babyPink,F4C2C2
babyPowder,FEFEFA
baker_MillerPink,FF91AF
ballBlue,21ABCD
bananaMania,FAE7B5
bananaYellow,FFE135
barnRed,7C0A02
battleshipGrey,848482
bazaar,98777B
beauBlue,BCD4E6
beaver,9F8170
beige,F5F5DC
b'DazzledBlue,2E5894
bigDipO’ruby,9C2542
bisque,FFE4C4
bistre,3D2B1F
bistreBrown,967117
bitterLemon,CAE00D
bitterLime,BFFF00
bittersweet,FE6F5E
bittersweetShimmer,BF4F51
blackBean,3D0C02
blackLeatherJacket,253529
blackOlive,3B3C36
blanchedAlmond,FFEBCD
blast_OffBronze,A57164
bleuDeFrance,318CE7
blizzardBlue,ACE5EE
blond,FAF0BE
blue_crayola,1F75FE
blue_munsell,0093AF
blue_ncs,0087BD
blue_pigment,333399
blue_ryb,0247FE
blueBell,A2A2D0
blue_Gray,6699CC
blue_Green,0D98BA
blueSapphire,126180
blue_Violet,8A2BE2
blueberry,4F86F7
bluebonnet,1C1CF0
blush,DE5D83
bole,79443B
bondiBlue,0095B6
bone,E3DAC9
bostonUniversityRed,CC0000
bottleGreen,006A4E
boysenberry,873260
brandeisBlue,0070FF
brass,B5A642
brickRed,CB4154
brightCerulean,1DACD6
brightGreen,66FF00
brightLavender,BF94E4
brightMaroon,C32148
brightPink,FF007F
brightTurquoise,08E8DE
brightUbe,D19FE8
brilliantLavender,F4BBFF
brilliantRose,FF55A3
brinkPink,FB607F
britishRacingGreen,004225
bronze,CD7F32
bronzeYellow,737000
brown_Traditional,964B00
brown_web,A52A2A
brown_Nose,6B4423
brunswickGreen,1B4D3E
bubbleGum,FFC1CC
bubbles,E7FEFF
buff,F0DC82
bulgarianRose,480607
burgundy,800020
burlywood,DEB887
burntOrange,CC5500
burntSienna,E97451
burntUmber,8A3324
byzantine,BD33A4
byzantium,702963
cadet,536872
cadetBlue,5F9EA0
cadetGrey,91A3B0
cadmiumGreen,006B3C
cadmiumOrange,ED872D
cadmiumRed,E30022
cadmiumYellow,FFF600
cafeAuLait,A67B5B
cafeNoir,4B3621
calPolyGreen,1E4D2B
cambridgeBlue,A3C1AD
camel,C19A6B
cameoPink,EFBBCC
camouflageGreen,78866B
canaryYellow,FFEF00
candyAppleRed,FF0800
candyPink,E4717A
capri,00BFFF
caputMortuum,592720
cardinal,C41E3A
caribbeanGreen,00CC99
carmine,960018
carmine_M&P,D70040
carminePink,EB4C42
carmineRed,FF0038
carnationPink,FFA6C9
carnelian,B31B1B
carolinaBlue,99BADD
carrotOrange,ED9121
castletonGreen,00563F
catalinaBlue,062A78
cedarChest,C95A49
ceil,92A1CF
celadon,ACE1AF
celadonBlue,007BA7
celadonGreen,2F847C
celeste,B2FFFF
celestialBlue,4997D0
cerise,DE3163
cerisePink,EC3B83
cerulean,007BA7
ceruleanBlue,2A52BE
ceruleanFrost,6D9BC3
cgBlue,007AA5
cgRed,E03C31
chamoisee,A0785A
champagne,F7E7CE
charcoal,36454F
charlestonGreen,232B2B
charmPink,E68FAC
chartreuse_Traditional,DFFF00
chartreuse_web,7FFF00
cherry,DE3163
cherryBlossomPink,FFB7C5
chestnut,954535 
chinaPink,DE6FA1
chinaRose,A8516E
chineseRed,AA381E
chocolate_Traditional,7B3F00
chocolate_web,D2691E
chromeYellow,FFA700
cinereous,98817B
cinnabar,E34234
cinnamon,D2691E
citrine,E4D00A
citron,9FA91F
claret,7F1734
classicRose,FBCCE7
cobalt,0047AB
cocoaBrown,D2691E
coconut,965A3E
coffee,6F4E37
columbiaBlue,9BDDFF
congoPink,F88379
coolBlack,002E63
coolGrey,8C92AC
copper,B87333
copper_crayola,DA8A67
copperPenny,AD6F69
copperRed,CB6D51
copperRose,996666
coquelicot,FF3800
coral,FF7F50
coralPink,F88379
coralRed,FF4040
cordovan,893F45
corn,FBEC5D
cornellRed,B31B1B
cornflowerBlue,6495ED
cornsilk,FFF8DC
cosmicLatte,FFF8E7
cottonCandy,FFBCD9
cream,FFFDD0
crimson,DC143C
crimsonGlory,BE0032
cyanProcess,00B7EB
cyberGrape,58427C
daffodil,FFFF31
dandelion,F0E130
darkBlue,00008B
darkBlue_Gray,666699
darkBrown,654321
darkByzantium,5D3954
darkCandyAppleRed,A40000
darkCerulean,08457E
darkChestnut,986960
darkCoral,CD5B45
darkCyan,008B8B
darkElectricBlue,536878
darkGoldenrod,B8860B
darkGray,A9A9A9
darkGreen,013220
darkImperialBlue,00416A
darkJungleGreen,1A2421
darkKhaki,BDB76B
darkLava,483C32
darkLavender,734F96
darkMagenta,8B008B
darkMidnightBlue,003366
darkOliveGreen,556B2F
darkOrange,FF8C00
darkOrchid,9932CC
darkPastelBlue,779ECB
darkPastelGreen,03C03C
darkPastelPurple,966FD6
darkPastelRed,C23B22
darkPink,E75480
darkPowderBlue,003399
darkRaspberry,872657
darkRed,8B0000
darkSalmon,E9967A
darkScarlet,560319
darkSeaGreen,8FBC8F
darkSienna,3C1414
darkSkyBlue,8CBED6
darkSlateBlue,483D8B
darkSlateGray,2F4F4F
darkSpringGreen,177245
darkTan,918151
darkTangerine,FFA812
darkTaupe,483C32
darkTerraCotta,CC4E5C
darkTurquoise,00CED1
darkVanilla,D1BEA8
darkViolet,9400D3
darkYellow,9B870C
dartmouthGreen,00703C
davysGrey,555555
debianRed,D70A53
deepCarmine,A9203E
deepCarminePink,EF3038
deepCarrotOrange,E9692C
deepCerise,DA3287
deepChampagne,FAD6A5
deepChestnut,B94E48
deepCoffee,704241
deepFuchsia,C154C1
deepJungleGreen,004B49
deepLemon,F5C71A
deepLilac,9955BB
deepMagenta,CC00CC
deepMauve,D473D4
deepPeach,FFCBA4
deepPink,FF1493
deepRuby,843F5B
deepSaffron,FF9933
deepSkyBlue,00BFFF
deepSpaceSparkle,4A646C
deepTaupe,7E5E60
deepTuscanRed,66424D
deer,BA8759
denim,1560BD
desert,C19A6B
desertSand,EDC9AF
diamond,7D1242
dimGray,696969
dirt,9B7653
dodgerBlue,1E90FF
dogwoodRose,D71868
dollarBill,85BB65
drab,967117
dukeBlue,00009C
dustStorm,E5CCC9
earthYellow,E1A95F
ebony,555D50
ecru,C2B280
